Курс;Категория;Всего_MB;Размер_резервной_копии_MB
Малышева А.А. МДК 01.01 С-27 2022;Базовые дисциплины;21;0
Яковлева Ж.С. Техническая механика 2022;Базовые дисциплины;21;0
Яковлева Ж.С. Литература 2022;Базовые дисциплины;21;0
Физика НП-15 Пронина С.В. 2022;Общеобразовательные дисциплины ;21;0
Яковлева Ж.С. УП.01.46.2022;Профильные дисциплины;20;0
Пронина.С.В Математика Э-22 2022;Общеобразовательные дисциплины ;20;0
Естествознание Токар М.Й. 2022;Базовые дисциплины;20;0
Малышева А.А. МДК 03.01 2022;Базовые дисциплины;19;0
НП-31 МДК.02.02. 2022;Базовые дисциплины;18;0
Яковлева Ж.С. УИД 2022;Базовые дисциплины;18;0
Яковлева Ж.С. Экономика организации 2022;Базовые дисциплины;17;0
Яковлева Ж.С. Основы учебно исследовательской деятельности 2022;Базовые дисциплины;17;0
Яковлева Ж.С. Электротехника 2022;Базовые дисциплины;16;0
Яковлева Ж.С. Процессы формообразования и инструменты 2022;Базовые дисциплины;16;0
Яковлева Ж.С. Электротехника 2022;Базовые дисциплины;16;0
Яковлева Ж.С.  Экономика 2022;Базовые дисциплины;15;0
Бочинова О.Б. Информатика 2022;Базовые дисциплины;15;0
Малышева А.А. МДК 01.03 РМП 2022;Базовые дисциплины;15;0
Малышева А.А. МДК 03.01 2022;Базовые дисциплины;14;0
Малышева А.А. МДК 02.02 2022;Базовые дисциплины;14;0
Яковлева А.П. Математика 2022;Базовые дисциплины;14;0
Плискин В.А. Инж.граф. - мет.указ. 2022;Базовые дисциплины;14;0
Плискин В.А Русский язык 2022;Базовые дисциплины;14;0
Малышева А.А. МДК 01.01 2022;Базовые дисциплины;13;0
Плискин В.А Иностранный язык С-37 2022;Базовые дисциплины;13;0
Плискин В.А Материаловедение (Филиал) 2022;Базовые дисциплины;13;0
 Плискин В.А УП 03 НП-31 2022;Базовые дисциплины;12;0
Плискин В.А Электротехника А-23 группа (Филиал) 2022;Базовые дисциплины;12;0
Малышева А.А. МДК 01.01 2022;Базовые дисциплины;12;0
Плискин В.А Основы экономики 2022;Базовые дисциплины;12;0
Плискин В.А Метрология З/О 2022;Базовые дисциплины;11;0
Плискин В.А УП03 Приготовление,оформление и подготовка к реализации холодных блюд, кулинарных изделий, закусок 2022;Базовые дисциплины;11;0
Малышева А.А. МДК 03.02 2022;Базовые дисциплины;11;0
Плискин В.А Архитектура 2022;Базовые дисциплины;11;0
Плискин В.А Гражданское право 2022 ;Базовые дисциплины;11;0
Плискин В.А УП 2022;Базовые дисциплины;10;0
Малышева А.А. Э-32 МДК 01.02. 2022;Базовые дисциплины;10;0
Плискин В.А Иностранный язык 2022;Базовые дисциплины;10;0
ОЭ Э-22 Леонова.Н.В 2022;Профильные дисциплины;10;0
Бочинова О.Б. Инженерная графика 2022;Базовые дисциплины;10;0
Информатика О-26 Наумова Т.А. 2022;Общеобразовательные дисциплины ;10;0
Бочинова О.Б. Основы психология 2022;Базовые дисциплины;10;0
Малышева А.А. МДК 02.02 2022;Базовые дисциплины;10;0
Физическая культура Воронкова А.В. 2022;Базовые дисциплины;9;0
Бочинова О.Б. Теория и методика С-27 2022;Базовые дисциплины;9;0
Бочинова О.Б. Кулинария 2022;Базовые дисциплины;9;0
НП-31 М.Д.К.03.02. 2022;Базовые дисциплины;9;0
Малышева А.А. МДК 03.02 НП-31 2022;Базовые дисциплины;9;0
Бочинова О.Б. ПП.03 2022;Профильные дисциплины;9;0
Бочинова О.Б. Информационные технологии М-44 2022;Профессиональный цикл;8;0
Бочинова О.Б. Английский язык П-26 2022;Базовые дисциплины;8;0
Бочинова О.Б. Информатика Н-33 2022;Базовые дисциплины;8;0
Малышева А.А. МДК.04.02 2022;Базовые дисциплины;7;0
Малышева А.А. МДК 01.01 2022;Профессиональный цикл;7;0
Эдиберидзе Л.Г. Электрические машины и аппараты 2022;Базовые дисциплины;7;0
Малышева А.А. МДК 01.02 2022;Профессиональный цикл;7;0
Эдиберидзе Л.Г Основы предпринимательства 2022;Базовые дисциплины;7;0
Малышева А.А. МДК 01.01 Техническое обслуживание и ремонт автомобильного транспорта 2022;Базовые дисциплины;7;0
Эдиберидзе Л.Г УП 02 С-27 2022;Базовые дисциплины;7;0
Эдиберидзе Л.Г ОП. 02 Слесарное дело (Филиал) 2022;Базовые дисциплины;7;0
Эдиберидзе Л.Г ПП 02 2022;Базовые дисциплины;7;0
Эдиберидзе Л.Г ПП 2022;Базовые дисциплины;7;0
Эдиберидзе Л.Г Техническое обслуживание и ремонт автомобильного транспорта» 2022;Базовые дисциплины;7;0
Эдиберидзе Л.Г Иностранный язык НП-21 2022;Базовые дисциплины;6;0
МДК.02.01 Ю-30 Пушкина.В.А 2022;Профессиональный Модуль;6;0
Теория вероятности П-36 Леонова.Н.В 2022;Базовые дисциплины;6;0
Эдиберидзе Л.Г УП02 П-36  2022;Профильные дисциплины;6;0
Эдиберидзе Л.Г Материаловедение 2022;Базовые дисциплины;6;0
Малышева А.А. МДК 02.02 2022;Базовые дисциплины;6;0
Эдиберидзе Л.Г Электротехника У-29 2022;Базовые дисциплины;6;0
Малышева А.А. МДК 01.01 НП-11 2022;Базовые дисциплины;6;0
ОТ У-29 Лежнев.Ю.И 2022;Профильные дисциплины;6;0
Право Пушкина О.В. 2022;Базовые дисциплины;5;0
Эдиберидзе Л.Г Информатика Ю-25 2022;Базовые дисциплины;5;0
Эдиберидзе Л.Г УП Ю-20 2022;Базовые дисциплины;5;0
УП.04.01 У-29 Рахимова.Р.В 2022;Профессиональный Модуль;4;0
Малышева А.А. МДК 04 2022;Базовые дисциплины;4;0
Яковлева Ж.С, 1С:Программирование для начинающих 2022;Базовые дисциплины;4;0
Рахимова.Р.В Электротехника (Филиал) 2022;Базовые дисциплины;4;0
Рахимова.Р.В ПОПД А-43 2022;Базовые дисциплины;4;0
Малышева А.А. МДК. 04.01. Организация процессов приготовления, подготовки к реализации и хранению холодных и горяч 2022;Базовые дисциплины;4;0
Малышева А.А. МДК 04.01.2022;Профильные дисциплины;4;0
Высшая математика НП-15 Яковлева М.Н. 2022;Общеобразовательные дисциплины ;4;0
Рахимова.Р.В Организация социальной работы в РФ 2022;Базовые дисциплины;3;0
Малышева А.А. НП 21 МДК 02.01 2022;Базовые дисциплины;3;0
Рахимова.Р.В Метрология Э-32 2022;Базовые дисциплины;3;0
ПОПД У-49 Пушкина.А.М 2022;Общепрофессиональный цикл;3;0
Рахимова.Р.В Иностранный язык 2022;Базовые дисциплины;3;0
Рахимова.Р.В ОАИП П26 2022;Базовые дисциплины;3;0
Рахимова.Р.В Стандартизация 2022;Базовые дисциплины;3;0
Бочинова О.Б. Информатика 2022;Базовые дисциплины;3;0
Пронина С.В. Технологическое оборудование 2022;Базовые дисциплины;3;0
Пронина С.В.  ДЭ 2022;Профессиональный цикл;3;0
Пронина С.В. Астрономия Н-33 2022;Базовые дисциплины;3;0
Пронина С.В.  Психология общения 2022;Базовые дисциплины;3;0
Пронина С.В.  Английский П-46 2022;Базовые дисциплины;2;0
МДК.02.02 С-27 Румянцева.О.В. 2022;Профессиональный Модуль;2;0
Экология П-26 Румянцева.О.В 2022;Общепрофессиональный цикл;2;0
Пронина С.В.  Психология У-15 2022;Базовые дисциплины;2;0
Пронина С.В.  УП Итоговое 2022;Базовые дисциплины;2;0
Малышева А.А. МДК 04.01 П-36 (Филиал) 2022;Базовые дисциплины;2;0
Григорьева С.В. Английский язык Э-22 2022;Базовые дисциплины;2;0
Григорьева С.В.  Основы схемотехники 2022;Базовые дисциплины;2;0
Григорьева С.В.  Метрология М-24 2022;Базовые дисциплины;2;0
Малышева А.А. МДК 01.04 2022;Базовые дисциплины;2;1
МДК.02.01 НП21 Лебедева.И.Д. 2022;Профессиональный Модуль;2;0
